Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A750689,Tuna,6/1/2017 15:42,6/1/2017 15:42,Pflugerville (TX),Public Assist,Normal,Dog,Neutered Male,2 years,Pit Bull,Brown Brindle/White
A750877,*Knoxville,6/1/2017 16:23,6/1/2017 16:23,Travis (TX),Stray,Normal,Dog,Neutered Male,4 years,German Shepherd Mix,Black/Tan
A738268,Duke,6/1/2017 16:40,6/1/2017 16:40,Bitter Creek Dr And Rock Ridge in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Rottweiler Mix,Black/Tan
A750881,Happy,6/1/2017 16:52,6/1/2017 16:52,51St St And Manor Road in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Brown
A750882,*Hepburn,6/1/2017 16:53,6/1/2017 16:53,Manchaca And Slaughter in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Border Collie Mix,White/Black
A750893,,6/1/2017 17:35,6/1/2017 17:35,1088 Park Pl in Austin (TX),Stray,Normal,Dog,Intact Female,3 months,Labrador Retriever Mix,Black
A665374,*Nelson,6/1/2017 17:39,6/1/2017 17:39,Wooten And Burrell in Austin (TX),Stray,Normal,Dog,Neutered Male,6 years,American Bulldog Mix,Brown Brindle/White
A750897,,6/1/2017 18:07,6/1/2017 18:07,1200 Barton Hills Dr in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black/White
A750894,,6/1/2017 18:07,6/1/2017 18:07,1200 Barton Hills Dr in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black
A750895,,6/1/2017 18:07,6/1/2017 18:07,1200 Barton Hills Dr in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black
A750896,,6/1/2017 18:07,6/1/2017 18:07,1200 Barton Hills Dr in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black
A750567,Jaeger,6/1/2017 18:28,6/1/2017 18:28,Austin (TX),Public Assist,Normal,Dog,Neutered Male,11 years,Labrador Retriever Mix,Black
A747045,Spaz,6/1/2017 18:40,6/1/2017 18:40,7010 W Easy Wind Dr in Austin (TX),Public Assist,Normal,Cat,Spayed Female,16 years,Domestic Longhair Mix,Black
A649704,Dot,6/1/2017 19:01,6/1/2017 19:01,Pepper Lane And Teri Rd in Austin (TX),Stray,Normal,Dog,Spayed Female,9 years,Boxer Mix,Tan/White
A750900,*Harlem,6/1/2017 22:41,6/1/2017 22:41,25101 Fawn Dr in Travis (TX),Stray,Injured,Dog,Intact Male,2 years,German Shepherd/Great Pyrenees,Brown/Black
A750901,Bingley,6/2/2017 8:09,6/2/2017 8:09,10613 Carovilla in Austin (TX),Stray,Injured,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby/White
A750902,Bo,6/2/2017 8:33,6/2/2017 8:33,16608 Trevin Cv in Travis (TX),Stray,Normal,Dog,Intact Male,2 months,Australian Cattle Dog Mix,White/Brown
A750907,Maria,6/2/2017 9:00,6/2/2017 9:00,Austin (TX),Stray,Normal,Cat,Intact Female,5 months,Domestic Medium Hair Mix,Black/White
A750908,Fatima,6/2/2017 9:00,6/2/2017 9:00,Austin (TX),Stray,Normal,Cat,Intact Female,5 months,Domestic Medium Hair Mix,White/Blue
A750904,Kronic,6/2/2017 9:20,6/2/2017 9:20,7707 Ih 35 in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Brown Tiger/White
A750906,Keena,6/2/2017 9:20,6/2/2017 9:20,7707 Ih 35 in Austin (TX),Stray,Normal,Dog,Intact Female,7 years,Pit Bull Mix,Brown
A750910,*Tortoise,6/2/2017 10:11,6/2/2017 10:11,7724 Elkhorn Mountain Trail in Austin (TX),Stray,Normal,Other,Intact Female,2 years,Lionhead,White/Brown
A750911,Bondi,6/2/2017 10:29,6/2/2017 10:29,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,11 years,Pembroke Welsh Corgi,Brown
A750916,,6/2/2017 11:00,6/2/2017 11:00,11410 Century Oaks Terrace in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue
A750915,Ripley,6/2/2017 11:01,6/2/2017 11:01,Travis (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Bullmastiff Mix,Brown Brindle
A750917,*Buttercup,6/2/2017 11:07,6/2/2017 11:07,519 Thrasher Ln in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico
A750919,*Bubbles,6/2/2017 11:07,6/2/2017 11:07,519 Thrasher Ln in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico
A750931,,6/2/2017 11:07,6/2/2017 11:07,519 Thrasher Ln in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black/White
A750918,*Blossom,6/2/2017 11:07,6/2/2017 11:07,519 Thrasher Ln in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico
A750920,,6/2/2017 11:08,6/2/2017 11:08,4905 Blue Bluff in Austin (TX),Stray,Normal,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie
A750921,,6/2/2017 11:18,6/2/2017 11:18,600 Barwood Park in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Dachshund/Chihuahua Shorthair,Black/Brown
A750922,*Niles,6/2/2017 11:20,6/2/2017 11:20,13401 Legendary in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby/White
A750923,,6/2/2017 11:35,6/2/2017 11:35,725 Airport in Austin (TX),Stray,Normal,Cat,Intact Female,7 years,Domestic Shorthair Mix,Brown Tabby/White
A714164,Thor,6/2/2017 11:43,6/2/2017 11:43,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Black Mouth Cur Mix,Tan/White
A750924,*Spokes,6/2/2017 11:58,6/2/2017 11:58,E 10Th St And Waller St in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,German Shepherd Mix,Brown/Black
A750926,,6/2/2017 12:10,6/2/2017 12:10,505 Blackson in Austin (TX),Stray,Sick,Dog,Intact Male,2 years,Pit Bull Mix,White/Blue
A750925,,6/2/2017 12:10,6/2/2017 12:10,505 Blackson in Austin (TX),Stray,Sick,Dog,Intact Male,2 years,Pit Bull Mix,Blue
A584516,Scooby,6/2/2017 12:14,6/2/2017 12:14,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,8 years,Pit Bull Mix,Black/White
A750928,*Jones,6/2/2017 12:16,6/2/2017 12:16,2320 Rockridge in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby
A750929,*Fleur,6/2/2017 12:22,6/2/2017 12:22,12115 Mccurry Rd in Travis (TX),Stray,Normal,Dog,Intact Female,2 years,Siberian Husky Mix,Sable
A750930,Jojo,6/2/2017 12:25,6/2/2017 12:25,2801 Wells Branch Parkway in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Manchester Terrier/Chihuahua Shorthair,Black/Brown
A750935,*Juno,6/2/2017 12:45,6/2/2017 12:45,193  Berkely in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A750934,*Clarendon,6/2/2017 12:45,6/2/2017 12:45,193  Berkely in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A750937,*Perpetua,6/2/2017 12:45,6/2/2017 12:45,193  Berkely in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Orange Tabby
A750936,*Ludwig,6/2/2017 12:45,6/2/2017 12:45,193  Berkely in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Cream Tabby
A750938,*Aden,6/2/2017 12:45,6/2/2017 12:45,193  Berkely in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby
A750933,*Willow,6/2/2017 12:45,6/2/2017 12:45,193  Berkely in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
A750939,*Hudson,6/2/2017 12:45,6/2/2017 12:45,193  Berkely in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby
A741516,*Higgins,6/2/2017 13:08,6/2/2017 13:08,Austin (TX),Stray,Injured,Cat,Neutered Male,1 year,Domestic Shorthair,Silver Tabby/White
A750942,Tank,6/2/2017 13:12,6/2/2017 13:12,7000 Cozette Ct in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Pit Bull Mix,Brown Brindle/White
A750941,,6/2/2017 13:14,6/2/2017 13:14,Austin (TX),Wildlife,Injured,Other,Intact Male,2 years,Squirrel Mix,Brown
A750943,*Hermes,6/2/2017 13:21,6/2/2017 13:21,Mearns Meadow Blvd And Runberg Ln in Austin (TX),Stray,Normal,Dog,Intact Male,4 months,Pit Bull/Catahoula,Tricolor
A750944,Maverick,6/2/2017 13:25,6/2/2017 13:25,1900 Miles in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Catahoula/Doberman Pinsch,Blue Merle/Brown
A750945,Gotti,6/2/2017 13:34,6/2/2017 13:34,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,9 years,Pit Bull/Labrador Retriever,Red/White
A750946,,6/2/2017 13:38,6/2/2017 13:38,12802 Espalande in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue/White
A750950,*Carman,6/2/2017 14:00,6/2/2017 14:00,5402 Burgundy Dr in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Red
A332026,Muttley,6/2/2017 14:04,6/2/2017 14:04,3225 Oak Aly in Austin (TX),Stray,Normal,Dog,Neutered Male,15 years,Border Collie Mix,Black/White
A750951,,6/2/2017 14:15,6/2/2017 14:15,2410 Village Walk in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black Tabby
A750952,,6/2/2017 14:17,6/2/2017 14:17,Rockland And Comfort in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
A750955,,6/2/2017 14:26,6/2/2017 14:26,7908 Cemetary Rd in Manor (TX),Stray,Normal,Cat,Unknown,2 days,Domestic Shorthair Mix,Black
A750956,,6/2/2017 14:26,6/2/2017 14:26,7908 Cemetary Rd in Manor (TX),Stray,Normal,Cat,Unknown,2 days,Domestic Shorthair Mix,Black/White
A750957,,6/2/2017 14:26,6/2/2017 14:26,7908 Cemetary Rd in Manor (TX),Stray,Normal,Cat,Unknown,2 days,Domestic Shorthair Mix,Blue/White
A750953,*Elsie,6/2/2017 14:26,6/2/2017 14:26,7908 Cemetary Rd in Manor (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue
A750959,,6/2/2017 14:50,6/2/2017 14:50,W 25Th St And Guadalupe in Austin (TX),Stray,Normal,Dog,Spayed Female,8 years,Miniature Poodle Mix,White
A750962,Fofinho,6/2/2017 15:16,6/2/2017 15:16,8907 Tronewood in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Dachshund/Chihuahua Shorthair,Red
A750966,*Karen,6/2/2017 15:38,6/2/2017 15:38,2506 Perkins in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair,Black
A750965,*Grace,6/2/2017 15:38,6/2/2017 15:38,2506 Perkins in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair,Blue
A750963,*Will,6/2/2017 15:38,6/2/2017 15:38,2506 Perkins in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Medium Hair Mix,Blue
A750964,*Jack,6/2/2017 15:38,6/2/2017 15:38,2506 Perkins in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair,Blue
A750967,*Lewis,6/2/2017 15:50,6/2/2017 15:50,3227 E 5Th St in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A750968,*Clark,6/2/2017 15:50,6/2/2017 15:50,3227 E 5Th St in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black
A750932,Chrysler,6/2/2017 16:06,6/2/2017 16:06,1900 Burton Dr in Austin (TX),Stray,Normal,Cat,Neutered Male,9 years,Domestic Shorthair Mix,Brown Tabby/White
A750974,*Jane Eyre,6/2/2017 16:25,6/2/2017 16:25,Elroy Dr And Hwy 130 in Travis (TX),Stray,Normal,Dog,Intact Female,5 months,Labrador Retriever Mix,Black/White
A750975,Gingerrogers,6/2/2017 16:33,6/2/2017 16:33,5510 I 35 South in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Pharaoh Hound Mix,Tricolor
A750972,Prince,6/2/2017 16:39,6/2/2017 16:39,12427 Tech Ridge Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,4 years,Chihuahua Shorthair Mix,Tricolor
A750973,*Plato,6/2/2017 16:44,6/2/2017 16:44,1545 Arborside Dr in Austin (TX),Stray,Normal,Dog,Intact Male,4 months,Great Pyrenees Mix,Black
A750976,Olive,6/2/2017 16:57,6/2/2017 16:57,10104 Bock Rd in Travis (TX),Stray,Normal,Dog,Intact Female,3 years,Pit Bull Mix,White/Black
A661097,Remy,6/2/2017 17:06,6/2/2017 17:06,Austin (TX),Public Assist,Normal,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Orange Tabby
A750977,Slim,6/2/2017 17:10,6/2/2017 17:10,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,14 years,Domestic Shorthair Mix,Blue
A750982,*Warhol,6/2/2017 18:14,6/2/2017 18:14,Clara Martin Road And Freedom Lane in Manor (TX),Stray,Normal,Dog,Intact Male,5 months,Pointer Mix,Chocolate/White
A749583,Buddy,6/2/2017 18:21,6/2/2017 18:21,Outside Jurisdiction,Owner Surrender,Normal,Dog,Neutered Male,6 months,Boston Terrier Mix,Yellow Brindle/White
A745689,Bricen,6/3/2017 8:42,6/3/2017 8:42,7201 Levander Loop in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Mastiff Mix,Blue
A750992,,6/3/2017 9:51,6/3/2017 9:51,309 W Eggleston St in Travis (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
A750993,Nemo,6/3/2017 10:04,6/3/2017 10:04,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,8 years,Miniature Poodle/Australian Cattle Dog,Black
A750994,Bobby Doug.,6/3/2017 11:01,6/3/2017 11:01,7110 E Ben White Blvd in Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A750995,Carma,6/3/2017 11:01,6/3/2017 11:01,2204 Santa Rita St in Austin (TX),Stray,Normal,Dog,Spayed Female,4 years,Labrador Retriever Mix,Chocolate/White
A750996,Gandolf,6/3/2017 11:02,6/3/2017 11:02,Manor (TX),Owner Surrender,Normal,Dog,Neutered Male,8 years,German Shepherd,White
A750997,Bo,6/3/2017 11:11,6/3/2017 11:11,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,3 years,Labrador Retriever/German Shepherd,Red
A750999,,6/3/2017 11:23,6/3/2017 11:23,4807 Park Ln in Austin (TX),Stray,Normal,Cat,Unknown,1 week,Domestic Shorthair Mix,Blue
A750998,Queen,6/3/2017 11:28,6/3/2017 11:28,8900 Collinfield in Austin (TX),Owner Surrender,Sick,Dog,Spayed Female,3 months,Chihuahua Shorthair Mix,Tan
A751000,,6/3/2017 11:29,6/3/2017 11:29,14709 Round Mountain Rd in Travis (TX),Stray,Normal,Cat,Spayed Female,4 years,Domestic Shorthair Mix,White
A751001,*Pete,6/3/2017 11:31,6/3/2017 11:31,Hwy 290 And Giles Ln in Austin (TX),Stray,Normal,Dog,Intact Male,5 months,Labrador Retriever Mix,Black
A751002,Mackie,6/3/2017 11:31,6/3/2017 11:31,Hwy 290 And Giles Ln in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Labrador Retriever Mix,Tricolor
A746708,Chloe,6/3/2017 11:41,6/3/2017 11:41,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,5 months,Dachshund Longhair Mix,White/Black
A599775,Pumpkin,6/3/2017 11:41,6/3/2017 11:41,2009 Uphill Ln in Austin (TX),Stray,Normal,Cat,Spayed Female,1 year,Domestic Longhair Mix,Orange/White
A751006,*Tina,6/3/2017 11:47,6/3/2017 11:47,1109 Clayton Ln in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Calico
A751003,,6/3/2017 11:49,6/3/2017 11:49,8417 Bowling Green in Austin (TX),Wildlife,Sick,Other,Unknown,2 years,Raccoon Mix,Black/White
A751005,,6/3/2017 11:53,6/3/2017 11:53,9006 W Pointer Ln in Austin (TX),Wildlife,Injured,Other,Unknown,4 months,Opossum Mix,Gray
A712948,Briah,6/3/2017 11:57,6/3/2017 11:57,Wickersham And Riverside in Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,Pit Bull Mix,Fawn/White
A751019,Luna,6/3/2017 11:59,6/3/2017 11:59,6506 High Point Cove in Austin (TX),Stray,Normal,Other,Intact Female,2 weeks,Rabbit Sh Mix,Black
A751017,,6/3/2017 11:59,6/3/2017 11:59,6506 High Point Cove in Austin (TX),Stray,Normal,Other,Intact Female,7 months,Rabbit Sh Mix,Black/White
A751020,*Fred,6/3/2017 11:59,6/3/2017 11:59,6506 High Point Cove in Austin (TX),Stray,Normal,Other,Intact Male,2 weeks,Rex Mix,Black
A751016,*Lavender,6/3/2017 11:59,6/3/2017 11:59,6506 High Point Cove in Austin (TX),Stray,Normal,Other,Intact Female,7 months,Rabbit Sh Mix,Blue
A751018,Oreo,6/3/2017 11:59,6/3/2017 11:59,6506 High Point Cove in Austin (TX),Stray,Normal,Other,Intact Female,2 weeks,Rabbit Sh Mix,Black/White
A751013,Mochi,6/3/2017 11:59,6/3/2017 11:59,6506 High Point Cove in Austin (TX),Stray,Normal,Other,Intact Female,3 months,Rabbit Sh Mix,Black
A751014,*Ludo,6/3/2017 11:59,6/3/2017 11:59,6506 High Point Cove in Austin (TX),Stray,Normal,Other,Neutered Male,4 months,Rex Mix,Black/White
